name;id;price;brand;category;spec;img_url
Apple MacBook Air M1 Gris sidéral 8Go/256 Go (MGN63FN/A);AR202011110002;1129.94;Apple;MacBook;"Puce Apple M1 8 Go SSD 256 Go 13.3"" LED Retina Wi-Fi AX/Bluetooth Webcam Mac OS Big Sur";https://media.ldlc.com/r150/ld/products/00/05/74/91/LD0005749151_1.jpg
Apple MacBook Air M1 Argent 8Go/256 Go (MGN93FN/A);AR202011110004;1129.94;Apple;MacBook;"Puce Apple M1 8 Go SSD 256 Go 13.3"" LED Retina Wi-Fi AX/Bluetooth Webcam Mac OS Big Sur";https://media.ldlc.com/r150/ld/products/00/05/74/91/LD0005749162_1.jpg
"Apple MacBook Pro M1 13.3&quot; Gris sidéral 8Go/256 Go (MYD82FN/A)";AR202011110008;1449.95;Apple;MacBook;"Puce Apple M1 8 Go SSD 256 Go 13.3"" LED Retina Wi-Fi AX/Bluetooth Webcam Touch Bar Mac OS Big Sur";https://media.ldlc.com/r150/ld/products/00/05/74/91/LD0005749190_1.jpg
"Apple MacBook Pro M1 13.3&quot; Gris sidéral 8Go/512 Go (MYD92FN/A)";AR202011110009;1679.95;Apple;MacBook;"Puce Apple M1 8 Go SSD 512 Go 13.3"" LED Retina Wi-Fi AX/Bluetooth Webcam Touch Bar Mac OS Big Sur";https://media.ldlc.com/r150/ld/products/00/05/74/91/LD0005749190_1_0005749193.jpg
Apple MacBook Air M1 Or 8Go/256 Go (MGND3FN/A);AR202011110006;1129.94;Apple;MacBook;"Puce Apple M1 8 Go SSD 256 Go 13.3"" LED Retina Wi-Fi AX/Bluetooth Webcam Mac OS Big Sur";https://media.ldlc.com/r150/ld/products/00/05/74/91/LD0005749177_1.jpg
Apple MacBook Air M1 Gris sidéral 8Go/512 Go (MGN73FN/A);AR202011110003;1399.94;Apple;MacBook;"Puce Apple M1 8 Go SSD 512 Go 13.3"" LED Retina Wi-Fi AX/Bluetooth Webcam Mac OS Big Sur";https://media.ldlc.com/r150/ld/products/00/05/74/91/LD0005749151_1_0005749155.jpg
Apple MacBook Air M1 Gris sidéral 16Go/256 Go (MGN63FN/A-16GB);AR202011200079;1359.95;Apple;MacBook;"Puce Apple M1 16 Go SSD 256 Go 13.3"" LED Retina Wi-Fi AX/Bluetooth Webcam Mac OS Big Sur";https://media.ldlc.com/r150/ld/products/00/05/74/91/LD0005749151_1_0005761825.jpg
"Apple MacBook Pro M1 13.3&quot; Gris sidéral 16Go/256 Go (MYD82FN/A-16GB)";AR202011200086;1679.95;Apple;MacBook;"Puce Apple M1 16 Go SSD 256 Go 13.3"" LED Retina Wi-Fi AX/Bluetooth Webcam Touch Bar Mac OS Big Sur";https://media.ldlc.com/r150/ld/products/00/05/74/91/LD0005749190_1_0005755754.jpg
Apple MacBook Air M1 Argent 16Go/512 Go (MGNA3FN/A-16GB);AR202011200084;1629.95;Apple;MacBook;"Puce Apple M1 16 Go SSD 512 Go 13.3"" LED Retina Wi-Fi AX/Bluetooth Webcam Mac OS Big Sur";https://media.ldlc.com/r150/ld/products/00/05/74/91/LD0005749166_1_0005761838.jpg
"Apple MacBook Pro M1 13.3&quot; Gris sidéral 16Go/512 Go (MYD92FN/A-16GB)";AR202011200087;1899.95;Apple;MacBook;"Puce Apple M1 16 Go SSD 512 Go 13.3"" LED Retina Wi-Fi AX/Bluetooth Webcam Touch Bar Mac OS Big Sur";https://media.ldlc.com/r150/ld/products/00/05/74/91/LD0005749190_1_0005749193_0005761857.jpg
"Apple MacBook Pro M1 13.3&quot; Argent 16Go/512 Go (MYDC2FN/A-16GB)";AR202011200088;1899.95;Apple;MacBook;"Puce Apple M1 16 Go SSD 512 Go 13.3"" LED Retina Wi-Fi AX/Bluetooth Webcam Touch Bar Mac OS Big Sur";https://media.ldlc.com/r150/ld/products/00/05/74/92/LD0005749201_1_0005749214_0005761864.jpg
"Apple MacBook Pro M1 13.3&quot; Argent 16Go/256 Go (MYDA2FN/A-16GB)";AR202011200085;1679.95;Apple;MacBook;"Puce Apple M1 16 Go SSD 256 Go 13.3"" LED Retina Wi-Fi AX/Bluetooth Webcam Touch Bar Mac OS Big Sur";https://media.ldlc.com/r150/ld/products/00/05/74/92/LD0005749201_1_0005761843.jpg
Apple MacBook Air M1 Argent 16Go/256 Go (MGN93FN/A-16GB);AR202011200080;1359.95;Apple;MacBook;"Puce Apple M1 16 Go SSD 256 Go 13.3"" LED Retina Wi-Fi AX/Bluetooth Webcam Mac OS Big Sur";https://media.ldlc.com/r150/ld/products/00/05/74/91/LD0005749162_1_0005761829.jpg
Apple MacBook Air M1 Gris sidéral 16Go/512 Go (MGN73FN/A-16GB);AR202011200083;1629.95;Apple;MacBook;"Puce Apple M1 16 Go SSD 512 Go 13.3"" LED Retina Wi-Fi AX/Bluetooth Webcam Mac OS Big Sur";https://media.ldlc.com/r150/ld/products/00/05/74/91/LD0005749151_1_0005749155_0005761833.jpg
Apple MacBook Air M1 Argent 8Go/512 Go (MGNA3FN/A);AR202011110005;1399.94;Apple;MacBook;"Puce Apple M1 8 Go SSD 512 Go 13.3"" LED Retina Wi-Fi AX/Bluetooth Webcam Mac OS Big Sur";https://media.ldlc.com/r150/ld/products/00/05/74/91/LD0005749166_1.jpg
"Apple MacBook Pro M1 13.3&quot; Argent 8Go/512 Go (MYDC2FN/A)";AR202011110011;1679.95;Apple;MacBook;"Puce Apple M1 8 Go SSD 512 Go 13.3"" LED Retina Wi-Fi AX/Bluetooth Webcam Touch Bar Mac OS Big Sur";https://media.ldlc.com/r150/ld/products/00/05/74/92/LD0005749201_1_0005749214.jpg
"Apple MacBook Pro 16&quot; avec Touch Bar Gris Sidéral (MVVJ2FN/A)";AR201911190055;2689.94;Apple;MacBook;"Intel Core i7 (2.6 GHz) 16 Go SSD 512 Go 16"" LED AMD Radeon Pro 5300M 4 Go Wi-Fi AC/Bluetooth Webcam Mac OS Catalina";https://media.ldlc.com/r150/ld/products/00/05/52/78/LD0005527834_2.jpg
"Apple MacBook Air (2020) 13&quot; avec écran Retina Argent (MWTK2FN/A_Z0YK_3)";AR202007270096;1199.95;Apple;MacBook;"Intel Core i3 (1.1 GHz) 16 Go SSD 256 Go 13.3"" LED Wi-Fi AC/Bluetooth Webcam Mac OS Catalina";https://media.ldlc.com/r150/ld/products/00/05/64/85/LD0005648571_2_0005648997_0005716624.jpg
"Apple MacBook Air (2020) 13&quot; avec écran Retina Gris sidéral (MVH22FN/A)";AR202003180073;1279.94;Apple;MacBook;"Intel Core i5 (1.1 GHz) 8 Go SSD 512 Go 13.3"" LED Wi-Fi AC/Bluetooth Webcam Mac OS Catalina";https://media.ldlc.com/r150/ld/products/00/05/64/89/LD0005648964_2.jpg
"Apple MacBook Air (2020) 13&quot; avec écran Retina Argent (MVH42FN/A)";AR202003190071;1279.94;Apple;MacBook;"Intel Core i5 (1.1 GHz) 8 Go SSD 512 Go 13.3"" LED Wi-Fi AC/Bluetooth Webcam Mac OS Catalina";https://media.ldlc.com/r150/ld/products/00/05/64/85/LD0005648571_2.jpg
Apple MacBook Air M1 Or 8Go/512 Go (MGNE3FN/A);AR202011110007;1399.94;Apple;MacBook;"Puce Apple M1 8 Go SSD 512 Go 13.3"" LED Retina Wi-Fi AX/Bluetooth Webcam Mac OS Big Sur";https://media.ldlc.com/r150/ld/products/00/05/74/91/LD0005749181_1.jpg
"Apple MacBook Pro M1 13.3&quot; Argent 8Go/256 Go (MYDA2FN/A)";AR202011110010;1449.95;Apple;MacBook;"Puce Apple M1 8 Go SSD 256 Go 13.3"" LED Retina Wi-Fi AX/Bluetooth Webcam Touch Bar Mac OS Big Sur";https://media.ldlc.com/r150/ld/products/00/05/74/92/LD0005749201_1.jpg
"Apple MacBook Pro 16&quot; avec Touch Bar Gris Sidéral (MVVK2FN/A)";AR201911190057;3189.95;Apple;MacBook;"Intel Core i9 (2.3 GHz) 16 Go SSD 1 To 16"" LED AMD Radeon Pro 5500M 4 Go Wi-Fi AC/Bluetooth Webcam Mac OS Catalina";https://media.ldlc.com/r150/ld/products/00/05/52/78/LD0005527834_2_0005528043.jpg
"Apple MacBook Pro (2020) 13&quot; avec Touch Bar Gris sidéral (MXK52FN/A)";AR202005060072;1499.95;Apple;MacBook;"Intel Core i5 (1.4 GHz) 8 Go SSD 512 Go 13.3"" LED Wi-Fi AC/Bluetooth Webcam Mac OS Catalina";https://media.ldlc.com/r150/ld/products/00/05/67/14/LD0005671407_1_0005671409.jpg
"Apple MacBook Pro 16&quot; avec Touch Bar Argent (MVVL2FN/A)";AR201911190058;2689.94;Apple;MacBook;"Intel Core i7 (2.6 GHz) 16 Go SSD 512 Go 16"" LED AMD Radeon Pro 5300M 4 Go Wi-Fi AC/Bluetooth Webcam Mac OS Catalina";https://media.ldlc.com/r150/ld/products/00/05/52/82/LD0005528231_2.jpg
"Apple MacBook Pro (2020) 13&quot; avec Touch Bar Argent (MXK72FN/A)";AR202005060074;1499.95;Apple;MacBook;"Intel Core i5 (1.4 GHz) 8 Go SSD 512 Go 13.3"" LED Wi-Fi AC/Bluetooth Webcam Mac OS Catalina";https://media.ldlc.com/r150/ld/products/00/05/67/14/LD0005671410_1_0005671413.jpg
"Apple MacBook Pro 16&quot; avec Touch Bar Argent (MVVM2FN/A)";AR201911190059;3189.95;Apple;MacBook;"Intel Core i9 (2.3 GHz) 16 Go SSD 1 To 16"" LED AMD Radeon Pro 5500M 4 Go Wi-Fi AC/Bluetooth Webcam Mac OS Catalina";https://media.ldlc.com/r150/ld/products/00/05/52/82/LD0005528271_2.jpg
