name;id;price;brand;category;spec;img_url
Acer Aspire 3 A315-23-R875;AR202008120036;579.95;Acer;PC portable;"AMD Ryzen 3 3250U 4 Go SSD 256 Go 15.6"" LED Full HD Wi-Fi AC/Bluetooth Webcam Windows 10 Famille en mode S";https://media.ldlc.com/r150/ld/products/00/05/70/85/LD0005708533_1_0005708538_0005765903.jpg
Acer Predator Helios 300 PH315-53-72AB;AR202006030096;1549.94;Acer;PC portable;"Intel Core i7-10750H 16 Go SSD 512 Go 15.6"" LED Full HD 144 Hz NVIDIA GeForce RTX 2060 6 Go Wi-Fi AX/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/72/14/LD0005721492_1.jpg
ASUS R509FA-EJ708T;AR202003110011;579.95;ASUS;PC portable;"Intel Pentium Gold 5405U 8 Go SSD 256 Go 15.6"" LED Full HD Wi-Fi AC/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/42/36/LD0005423675_2_0005623556_0005683353.jpg
Acer Aspire 5 A515-44-R251;AR202008120041;729.95;Acer;PC portable;"AMD Ryzen 5 4500U 8 Go SSD 1 To 15.6"" LED Full HD Wi-Fi AC/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/71/68/LD0005716869_1_0005738949.jpg
ASUS R509JA-EJ027;AR201912020052;599.95;ASUS;PC portable;"Intel Core i3-1005G1 8 Go SSD 256 Go 15.6"" LED Full HD Wi-Fi AC/Bluetooth Webcam Endless OS";https://media.ldlc.com/r150/ld/products/00/05/76/79/LD0005767966_1.jpg
Lenovo IdeaPad 1 14ADA05 (82GW0022FR);AR202007310016;399.95;Lenovo;PC portable;"AMD 3020e 4 Go SSD 128 Go 14"" LED HD Wi-Fi AC/Bluetooth Webcam Windows 10 Famille en mode S";https://media.ldlc.com/r150/ld/products/00/05/76/70/LD0005767066_1.jpg
ASUS Vivobook S15 S533FA-EJ052T;AR201912020063;859.95;ASUS;PC portable;"Intel Core i5-10210U 8 Go Intel Optane 32 Go + SSD 512 Go 15.6"" LED Full HD Wi-Fi AC/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/64/58/LD0005645861_2.jpg
Lenovo Legion 5 15ARH05H (82B10002FR);AR202006090088;1299.9;Lenovo;PC portable;"AMD Ryzen 5 4600H 16 Go SSD 512 Go 15.6"" LED Full HD 120 Hz NVIDIA GeForce RTX 2060 6 Go Wi-Fi AX/Bluetooth Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/72/28/LD0005722803_1.jpg
Dell G3 15 3500 (3500-1300);AR202008110093;799.96;Dell;PC portable;"Intel Core i5-10300H 8 Go SSD 256 Go 15.6"" LED Full HD NVIDIA GeForce GTX 1650 4 Go Wi-Fi AX/Bluetooth Webcam Linux";https://media.ldlc.com/r150/ld/products/00/05/69/64/LD0005696473_1_0005732464.jpg
ASUS A15 TUF566IV-HN298T;AR202003110107;1399.95;ASUS;PC portable;"AMD Ryzen 7 4800H 16 Go SSD 512 Go 15.6"" LED Full HD 144 Hz NVIDIA GeForce RTX 2060 6 Go Wi-Fi AC/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/70/03/LD0005700314_1.jpg
ASUS Vivobook S15 S513EA-EJ528T;AR202007300280;839.95;ASUS;PC portable;"Intel Core i5-1135G7 8 Go SSD 512 Go 15.6"" LED Full HD Wi-Fi AX/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/74/99/LD0005749943_1.jpg
