name;id;price;brand;category;spec;img_url
MSI MAG Infinite S 10SC-051EU;AR202012100084;1099.95;MSI;PC de bureau;Intel Core i5-10400F 16 Go SSD 512 Go NVIDIA GeForce RTX 2060 6 Go Wi-Fi AX/Bluetooth Windows 10 Famille 64 bits;https://media.ldlc.com/r150/ld/products/00/05/76/88/LD0005768804_1.jpg
Lenovo ThinkCentre M720 Tiny (10T700BTFR);AR201911150067;789.95;Lenovo;PC de bureau;Intel Core i5-9400T 8 Go SSD 256 Go Wi-Fi AC/Bluetooth Windows 10 Professionnel 64 bits (Garantie constructeur 3 ans);https://media.ldlc.com/r150/ld/products/00/05/18/09/LD0005180982_2_0005205926_0005518841.jpg
ASUS D641SC-I79700005R;AR201912130099;999.95;ASUS;PC de bureau;Intel Core i7-9700 16 Go SSD 512 Go Wi-Fi AC/Bluetooth Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/55/90/LD0005559022_2_0005559322_0005631308.jpg
MSI Station Codex S 10SA-216FR;AR202006260104;1449.95;MSI;PC de bureau;Intel Core i7-10700 16 Go SSD 512 Go + HDD 1 To NVIDIA GeForce GTX 1650 4 Go Wi-Fi AX/Bluetooth Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/72/05/LD0005720501_1_0005728222.jpg
MSI MPG Trident 3 Arctic 10SC-217EU;AR202012100083;1499.95;MSI;PC de bureau;Intel Core i7-10700 16 Go SSD 512 Go + HDD 2 To NVIDIA GeForce RTX 2060 6 Go Wi-Fi 6 AX/Bluetooth Windows 10 Famille 64 bits;https://media.ldlc.com/r150/ld/products/00/05/70/60/LD0005706018_1_0005768842.jpg
Lenovo ThinkCentre M720Q Tiny (10T700A9FR);AR202001240029;649.94;Lenovo;PC de bureau;Intel Core i3-9100T 8 Go SSD 256 Go Wi-Fi AC/Bluetooth Windows 10 Professionnel 64 bits (Garantie constructeur 3 ans);https://media.ldlc.com/r150/ld/products/00/05/18/09/LD0005180982_2_0005205926_0005518841_0005624080.jpg
ASUS D641SC-I59400010R;AR201912110160;769.94;ASUS;PC de bureau;Intel Core i5-9400 8 Go SSD 512 Go Wi-Fi AC/Bluetooth Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/55/90/LD0005559022_2_0005559322.jpg
MSI Trident A 10SD-1076FR;AR202006260094;1929.95;MSI;PC de bureau;Intel Core i7-10700 16 Go SSD 512 Go + HDD 2 To NVIDIA GeForce RTX 2070 SUPER 8 Go Wi-Fi AX/Bluetooth Windows 10 Famille 64 bits;https://media.ldlc.com/r150/ld/products/00/05/47/45/LD0005474553_2_0005734405_0005744616.jpg
MSI MEG Trident X 10SE-852EU;AR202006260092;2649.95;MSI;PC de bureau;Intel Core i7-10700K 32 Go SSD 512 Go + HDD 1 To NVIDIA GeForce RTX 2080 SUPER 8 Go Wi-Fi AX/Bluetooth LAN 2.5 GbE Windows 10 Famille 64 bits;https://media.ldlc.com/r150/ld/products/00/05/38/21/LD0005382142_2_0005526157_0005708920_0005709033_0005709206.jpg
MSI MPG Trident 3 10SI-071FR;AR202006260098;1249.94;MSI;PC de bureau;Intel Core i5-10400F 16 Go SSD 512 Go NVIDIA GeForce GTX 1660 Super 6 Go Wi-Fi AC/Bluetooth Windows 10 Famille 64 bits;https://media.ldlc.com/r150/ld/products/00/05/71/00/LD0005710005_1.jpg
ASUS Vivo AiO V241FAK-WA012T;AR201903270134;749.95;ASUS;PC de bureau;"Intel Core i3-8145U 4 Go SSD 128 Go + HDD 1 To LED 23.8"" Wi-Fi AC/Bluetooh Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/04/57/82/LD0004578256_2_0004580715_0004931249_0004997701_0005311944_0005343392_0005343809.jpg
Alienware Aurora R11-577;AR202011250032;3999.95;Alienware;PC de bureau;Intel Core i9-10900F 32 Go SSD 1 To + HDD 1 To NVIDIA GeForce RTX 3090 24 Go Wi-Fi AX/Bluetooth Windows 10 Famille 64 bits (sans écran);https://media.ldlc.com/r150/ld/products/00/05/72/89/LD0005728995_1_0005735429_0005772542.jpg
Acer Nitro N50-610 (DG.E22EF.006);AR202101050069;1199.95;Acer;PC de bureau;Intel Core i5-10400F 8 Go SSD 256 Go + HDD 1 To NVIDIA GeForce GTX 1660 SUPER 6 Go Wi-Fi AX/Bluetooth Windows 10 Famille 64 bits;https://media.ldlc.com/r150/ld/products/00/05/77/26/LD0005772690_1.jpg
MSI Infinite 9SA-1072FR;AR202012170068;999.95;MSI;PC de bureau;Intel Core i5-9400F 8 Go SSD 256 Go + HDD 1 To NVIDIA GeForce GTX 1650 4 Go Wi-Fi AC/Bluetooth Windows 10 Famille 64 bits;https://media.ldlc.com/r150/ld/products/00/05/30/99/LD0005309994_2_0005523097_0005767312.jpg
ASUS Vivo AiO V241FAK-WA001R;AR201912090040;769.94;ASUS;PC de bureau;"Intel Core i3-8145U 4 Go SSD 256 Go LED 23.8"" Wi-Fi AC/Bluetooh Webcam Windows 10 Professionnel 64 bits";https://media.ldlc.com/r150/ld/products/00/04/57/82/LD0004578256_2_0004580715_0004931249_0004997701_0005311944_0005343392_0005415724_0005415769_0005604128.jpg
Acer Predator Orion 3000 (PO3-620 DG.E23EF.003);AR202101120134;2199.95;Acer;PC de bureau;Intel Core i7-10700F 16 Go SSD 512 Go NVIDIA GeForce RTX 3070 8 Go Wi-Fi AX Windows 10 Famille 64 bits;https://media.ldlc.com/r150/ld/products/00/05/77/15/LD0005771569_1_0005774836.jpg
MSI Station Codex S 10SA-226FR;AR202006260106;999.95;MSI;PC de bureau;Intel Core i5-10400F 8 Go SSD 256 Go + HDD 1 To NVIDIA GeForce GTX 1650 4 Go Wi-Fi AX/Bluetooth Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/72/05/LD0005720501_1.jpg
Intel NUC NUC6CAYS;AR201704100099;235.94;Intel;PC de bureau;"Intel Celeron J3455 2 Go eMMC 32 Go Wi-Fi AC / Bluetooth 4.2 + SATA 2.5"" Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/04/24/47/LD0004244725_2_0004245133_0004305248.jpg
ASUS D340MF-I39100002R;AR201912110156;549.95;ASUS;PC de bureau;Intel Core i3-9100 4 Go SSD 256 Go Wi-Fi AC/Bluetooth Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/55/87/LD0005558704_2.jpg
Lenovo ThinkCentre V530-15ICR Tour (11BH001FFR);AR202002070040;709.94;Lenovo;PC de bureau;Intel Core i5-9400 8 Go SSD 256 Go Graveur DVD Wi-Fi AC/Bluetooth Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/57/90/LD0005579070_2_0005606802_0005616626.jpg
MSI MEG Aegis Ti5 10TE-006EU;AR202009180038;4299.95;MSI;PC de bureau;Intel Core i7-10700K 128 Go SSD 2 To (2x 1 To) + HDD 3 To NVIDIA GeForce RTX 3080 10 Go Wi-Fi AX/Bluetooth Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/75/98/LD0005759875_1_0005766992.jpg
MSI Creator P100A 10SI-236EU;AR202006260103;1699.94;MSI;PC de bureau;Intel Core i7-10700 16 Go SSD 1 To + HDD 1 To NVIDIA GeForce GTX 1660 SUPER 6 Go Wi-Fi AX/Bluetooth Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/69/38/LD0005693872_1_0005741339.jpg
MSI Cubi 5 10M-062EU;AR202011200005;749.95;MSI;PC de bureau;Intel Core i5-10210U 8 Go SSD 512 Go Wi-Fi AX/Bluetooth Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/76/89/LD0005768958_1.jpg
ASUS Vivo AiO V241EAK-WA001R;AR202011120008;1099.94;ASUS;PC de bureau;"Intel Core i5-1135G7 8 Go SSD 512 Go LED 23.8"" Wi-Fi AC/Bluetooh Webcam Windows 10 Professionnel 64 bits";https://media.ldlc.com/r150/ld/products/00/04/57/82/LD0004578256_2_0004580715_0004931249_0004997701_0005311944_0005343392_0005415724_0005529705_0005753374.jpg
ASUS All-in-One PC A41GAT-BD045R;AR201912090039;699.95;ASUS;PC de bureau;"Intel Pentium Silver N5000 8 Go SSD 256 Go LED HD 15.6"" Tactile Wi-Fi AC/Bluetooth Webcam Windows 10 Professionnel 64 bits";https://media.ldlc.com/r150/ld/products/00/03/65/00/LD0003650034_2_0003947308_0004354030_0004696533_0004795864_0004958441_0004997275_0005216268_0005421989_0005604281.jpg
ASUS Vivo AiO V222GAK-WA106T;AR202003100068;549.95;ASUS;PC de bureau;"Intel Pentium Silver J5005 4 Go HDD 1 To LED 21.5"" Wi-Fi AC/Bluetooh Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/04/57/82/LD0004578256_2_0004580715_0004931249_0004997701_0005311944_0005343392_0005343809_0005631397.jpg
Lenovo ThinkCentre V530s-07ICR SFF (11BM0028FR);AR202002170030;689.95;Lenovo;PC de bureau;Intel Core i5-9400 8 Go 1 To Graveur DVD Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/60/31/LD0005603147_2_0005605444.jpg
ASUS D340MF-I59400007R;AR201912110157;739.95;ASUS;PC de bureau;Intel Core i5-9400 8 Go SSD 512 Go Wi-Fi AC/Bluetooth Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/55/87/LD0005558704_2_0005631347.jpg
Lenovo ThinkCentre V530s-07ICR SFF (11BM002QFR);AR202002240091;449.95;Lenovo;PC de bureau;Intel Pentium Gold G5400 4 Go 1 To Graveur DVD Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/60/31/LD0005603147_2_0005605566_0005613289.jpg
Dell G5 5000-680;AR202011250029;1999.94;Dell;PC de bureau;Intel Core i7-10700 16 Go SSD 1 To NVIDIA GeForce RTX 3070 8 Go Wi-Fi AC/Bluetooth Windows 10 Famille 64 bits (sans écran);https://media.ldlc.com/r150/ld/products/00/05/77/01/LD0005770158_1.jpg
Lenovo ThinkStation P330 (30CY002YFR);AR201910040051;1875.95;Lenovo;PC de bureau;Intel Core i7-9700 16 Go SSD 256 Go + HDD 1 To NVIDIA Quadro P2200 Graveur DVD Windows 10 Professionel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/14/46/LD0005144658_2_0005148647_0005250684_0005473634_0005474927_0005474952_0005475050.jpg
ASUS Zen AiO ZN242GDK-CA002R;AR201912110163;1279.94;ASUS;PC de bureau;"Intel Core i5-8300H 8 Go SSD 256 Go + HDD 1 To LED 23.8"" NVIDIA GeForce GTX 1050 4 Go Wi-Fi AC/Bluetooth Webcam Windows 10 Professionnel 64 bits";https://media.ldlc.com/r150/ld/products/00/05/13/65/LD0005136517_2_0005562410.jpg
MSI MEG Trident X 10SE-851EU;AR202006260090;3199.95;MSI;PC de bureau;Intel Core i9-10900K 32 Go SSD 2 To (2 x 1 To) + HDD 1 To NVIDIA GeForce RTX 2080 SUPER 8 Go Wi-Fi AX/Bluetooth LAN 2.5 GbE Windows 10 Famille 64 bits;https://media.ldlc.com/r150/ld/products/00/05/38/21/LD0005382142_2_0005526157_0005708920_0005709033.jpg
MSI Prestige P100 9SF-015FR;AR201907180101;3699.95;MSI;PC de bureau;Intel Core i9-9900K 64 Go SSD 1 To + HDD 2 To NVIDIA GeForce RTX 2080 Ti 11 Go Wi-Fi AC/Bluetooth Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/45/73/LD0005457378_2.jpg
Lenovo ThinkCentre M720s SFF (10ST007EFR);AR201912100010;749.95;Lenovo;PC de bureau;Intel Core i5-9400 8 Go SSD 256 Go Graveur DVD Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/47/06/LD0005470631_2_0005625705.jpg
ASUS D641SC-I39100007R;AR201912110159;589.94;ASUS;PC de bureau;Intel Core i3-9100 8 Go SSD 256 Go Wi-Fi AC/Bluetooth Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/58/01/LD0005580100_2.jpg
MSI MEG Trident X 10SD-853EU;AR202006260093;2399.95;MSI;PC de bureau;Intel Core i7-10700K 16 Go SSD 512 Go + HDD 1 To NVIDIA GeForce RTX 2070 SUPER 8 Go Wi-Fi AX/Bluetooth LAN 2.5 GbE Windows 10 Famille 64 bits;https://media.ldlc.com/r150/ld/products/00/05/38/21/LD0005382142_2_0005526157_0005708920_0005708968.jpg
Dell OptiPlex 3070 Micro (3RC7K);AR201908120067;749.95;Dell;PC de bureau;Intel Core i5-9500T 8 Go SSD 256 Go Wi-Fi AC/Bluetooth Windows 10 Professionnel 64 bits (sans écran);https://media.ldlc.com/r150/ld/products/00/05/41/83/LD0005418363_2_0005418538.jpg
MSI Creator P100X 10SD-249FR;AR202006260101;2099.95;MSI;PC de bureau;Intel Core i7-10700K 16 Go SSD 512 Go + HDD 1 To NVIDIA GeForce RTX 2070 SUPER 8 Go Wi-Fi AX/Bluetooth Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/71/76/LD0005717691_1_0005718238.jpg
ASUS Vivo AiO V222FAK-WA004R;AR202003180057;779.95;ASUS;PC de bureau;"Intel Core i3-10110U 4 Go SSD 256 Go LED 21.5"" Wi-Fi AC/Bluetooh Webcam Windows 10 Professionnel 64 bits";https://media.ldlc.com/r150/ld/products/00/04/57/82/LD0004578256_2_0004580715_0004931249_0004997701_0005311944_0005343392_0005343809_0005631397_0005686339.jpg
Acer Nitro N50-610 (DG.E1ZEF.001);AR202101140071;1099.94;Acer;PC de bureau;Intel Core i5-10400F 8 Go SSD 128 Go + HDD 1 To NVIDIA GeForce GTX 1650 4 Go Wi-Fi AX/Bluetooth Windows 10 Famille 64 bits;https://media.ldlc.com/r150/ld/products/00/05/77/26/LD0005772690_1_0005774808_0005774813.jpg
MSI Pro 22XT 9M-029XEU;AR201907180095;579.95;MSI;PC de bureau;"Intel Celeron G4930 8 Go SSD 256 Go LED Tactile 21.5"" Wi-Fi AC/Bluetooth (sans OS)";https://media.ldlc.com/r150/ld/products/00/05/41/89/LD0005418971_2_0005419540.jpg
ASUS D340MF-I79700008R;AR201912110158;999.95;ASUS;PC de bureau;Intel Core i7-9700 16 Go SSD 512 Go Wi-Fi AC/Bluetooth Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/55/87/LD0005558704_2_0005558866.jpg
ASUS ProArt Station D940MX-79700K016R;AR201912110161;3099.95;ASUS;PC de bureau;Intel Core i7-9700K 64 Go SSD 512 Go NVIDIA Quadro RTX 4000 Wi-Fi AX/Bluetooth Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/57/59/LD0005575925_2.jpg
Dell OptiPlex 3070 SFF (7Y43W);AR202003050010;699.95;Dell;PC de bureau;Intel Core i5-9500 8 Go 1 To Graveur DVD Windows 10 Professionnel 64 bits (sans écran);https://media.ldlc.com/r150/ld/products/00/05/41/81/LD0005418149_2_0005418316_0005423735_0005647249.jpg
Lenovo ThinkCentre M720t Tour (10SQ006AFR);AR202004160158;999.95;Lenovo;PC de bureau;Intel Core i7-9700 8 Go SSD 256 Go Graveur DVD Windows 10 Professionnel 64 bits;https://media.ldlc.com/r150/ld/products/00/05/02/39/LD0005023922_2_0005127972_0005670616.jpg
MSI MEG Trident X 10SF-854EU;AR202006260087;3699.95;MSI;PC de bureau;Intel Core i9-10900K 64 Go SSD 2 To (2 x 1 To) + HDD 2 To NVIDIA GeForce RTX 2080 Ti 11 Go Wi-Fi AX/Bluetooth LAN 2.5 GbE Windows 10 Famille 64 bits;https://media.ldlc.com/r150/ld/products/00/05/38/21/LD0005382142_2_0005526157_0005708920.jpg
Alienware Aurora R11-727;AR202011250031;3199.94;Alienware;PC de bureau;Intel Core i9-10900F 32 Go SSD 1 To NVIDIA GeForce RTX 3080 10 Go Wi-Fi AX/Bluetooth Windows 10 Famille 64 bits (sans écran);https://media.ldlc.com/r150/ld/products/00/05/72/89/LD0005728995_1_0005735429_0005772542_0005772999.jpg
