name;id;price;brand;category;spec;img_url
Apple iPhone SE 128 Go Blanc;AR202004200007;539.95;Apple;"Mobile &amp; smartphone";"Smartphone 4G-LTE Advanced IP67 Dual SIM - Apple A13 Bionic Hexa-Core - RAM 3 Go - Ecran 4.7"" 750 x 1334 - 128 Go - NFC/Bluetooth 5.0 - 1821 mAh -  iOS 13";https://media.ldlc.com/r150/ld/products/00/05/66/02/LD0005660289_2_0005660348.jpg
Xiaomi Redmi Note 9 Pro Blanc (6 Go / 128 Go);AR202005140008;239.95;Xiaomi;"Mobile &amp; smartphone";"Smartphone 4G-LTE Advanced Dual SIM - Snapdragon 720G Octo-Core 2.3 GHz - RAM 6 Go - Ecran tactile 6.67"" 1080 x 2400 - 128 Go - NFC/Bluetooth 5.0 - 5020 mAh - Android 10";https://media.ldlc.com/r150/ld/products/00/05/67/69/LD0005676945_1.jpg
Samsung Galaxy Xcover 4s SM-G398F Noir;AR201909160053;259.94;Samsung;"Mobile &amp; smartphone";"Smartphone 4G-LTE Dual SIM IP68 - Exynos 7885 8-Core 1.6 Ghz - RAM 3 Go - Ecran tactile 5"" 720 x 1280 - 32 Go - NFC/Bluetooth 5.0 - 2800 mAh - Android 9.0";https://media.ldlc.com/r150/ld/products/00/05/45/58/LD0005455823_2.jpg
Samsung Galaxy S21 Ultra SM-G998B Noir (12 Go / 256 Go);AR202012290046;1299.95;Samsung;"Mobile &amp; smartphone";"Smartphone 5G-LTE Dual SIM IP68 - Exynos 2100 - RAM 12 Go - Ecran tactile Dynamic AMOLED 120 Hz 6.8"" 1440 x 3200 - 256 Go - NFC/Bluetooth 5.2 - 5000 mAh - Android 11";https://media.ldlc.com/r150/ld/products/00/05/77/08/LD0005770878_1_0005770888.jpg
Samsung Galaxy A20e Blanc;AR201904260028;169.95;Samsung;"Mobile &amp; smartphone";"Smartphone 4G-LTE Dual SIM - Exynos 7884 8-Core 1.6 Ghz - RAM 3 Go - Ecran tactile 5.8"" 720 x 1560 - 32 Go - NFC/Bluetooth 5.0 - 3000 mAh - Android 9.0";https://media.ldlc.com/r150/ld/products/00/05/30/40/LD0005304049_2.jpg
Apple iPhone SE 64 Go (PRODUCT)RED;AR202004200004;489.95;Apple;"Mobile &amp; smartphone";"Smartphone 4G-LTE Advanced IP67 Dual SIM - Apple A13 Bionic Hexa-Core - RAM 3 Go - Ecran 4.7"" 750 x 1334 - 64 Go - NFC/Bluetooth 5.0 - 1821 mAh -  iOS 13";https://media.ldlc.com/r150/ld/products/00/05/66/03/LD0005660304_2.jpg
Apple iPhone 12 Pro Max 256 Go Graphite;AR202010300025;1379.95;Apple;"Mobile &amp; smartphone";"Smartphone 5G-LTE IP68 Dual SIM - Apple A14 Bionic Hexa-Core - RAM 6 Go - Ecran Super Retina XDR OLED 6.7"" 1284 x 2778 - 256 Go - NFC/Bluetooth 5.0 - iOS 14";https://media.ldlc.com/r150/ld/products/00/05/74/34/LD0005743497_1_0005743513.jpg
Huawei Y5P Bleu;AR202005110091;99.95;Huawei;"Mobile &amp; smartphone";"Smartphone 4G-LTE Advanced Dual SIM - MediaTek MT6762R Octo-Core 2.0 GHz - RAM 2 Go - Ecran tactile 5.45"" 720 x 1440 - 32 Go - Bluetooth 5.0 - 3020 mAh - Android 10";https://media.ldlc.com/r150/ld/products/00/05/70/17/LD0005701718_1.jpg
Apple iPhone XR 64 Go Noir;AR201809130158;589.94;Apple;"Mobile &amp; smartphone";"Smartphone 4G-LTE Advanced IP67 Dual SIM - Apple A12 Bionic Hexa-Core - RAM 3 Go - Ecran 6.1"" 828 x 1792 - 64 Go - NFC/Bluetooth 5.0 - iOS 12";https://media.ldlc.com/r150/ld/products/00/05/07/07/LD0005070799_2.jpg
Samsung Galaxy S20 Ultra 5G SM-G988B Noir (12 Go / 128 Go) - Reconditionné;AR202001270023;919.0;Samsung;"Mobile &amp; smartphone";"Smartphone 5G-LTE Dual SIM IP68 - Exynos 990 - RAM 12 Go - Ecran tactile AMOLED 120 Hz 6.9"" 1440 x 3200 - 128 Go - NFC/Bluetooth 5.0 - 5000 mAh - Android 10";https://media.ldlc.com/r150/ld/products/00/05/59/12/LD0005591210_2.jpg
Apple iPhone 12 64 Go Vert;AR202010130188;909.95;Apple;"Mobile &amp; smartphone";"Smartphone 5G-LTE IP68 Dual SIM - Apple A14 Bionic Hexa-Core - RAM 4 Go - Ecran Super Retina XDR OLED 6.1"" 1170 x 2532 - 64 Go - NFC/Bluetooth 5.0 - iOS 14";https://media.ldlc.com/r150/ld/products/00/05/73/56/LD0005735698_1.jpg
Samsung Galaxy S20 5G SM-G981B Gris (12 Go / 128 Go) - Reconditionné;AR202001270014;729.9;Samsung;"Mobile &amp; smartphone";"Smartphone 5G-LTE Dual SIM IP68 - Exynos 990 - RAM 12 Go - Ecran tactile AMOLED 120 Hz 6.2"" 1440 x 3200 - 128 Go - NFC/Bluetooth 5.0 - 4000 mAh - Android 10";https://media.ldlc.com/r150/ld/products/00/05/59/07/LD0005590756_2.jpg
Apple iPhone 11 64 Go Vert;AR201909100074;689.95;Apple;"Mobile &amp; smartphone";"Smartphone 4G-LTE Advanced IP68 Dual SIM - Apple A13 Bionic Hexa-Core - RAM 4 Go - Ecran 6.1"" 828 x 1792 - 64 Go - NFC/Bluetooth 5.0 - iOS 13";https://media.ldlc.com/r150/ld/products/00/05/43/90/LD0005439018_2.jpg
Xiaomi Mi Note 10 Lite Violet (6 Go / 128 Go);AR202004230073;399.95;Xiaomi;"Mobile &amp; smartphone";"Smartphone 4G-LTE Advanced Dual SIM - Snapdragon 730G Octo-Core 2.2 GHz - RAM 6 Go - Ecran tactile AMOLED 6.47"" 1080 x 2340 - 128 Go - NFC/Bluetooth 5.0 - 5260 mAh - Android 9.0";https://media.ldlc.com/r150/ld/products/00/05/67/65/LD0005676545_1.jpg
