name;id;price;brand;category;spec;img_url
"Samsung Galaxy Tab A7 10.4&quot; SM-T500 32 Go Gris Wi-Fi";AR202010020043;219.95;Samsung;Tablette tactile;"Tablette Internet - Snapdragon 662 Octo-Core 2 GHz - RAM 3 Go - 32 Go - Écran 10.4"" WUXGA+ - Wi-Fi/Bluetooth - Webcam - USB-C - 7040 mAh - Android 10";https://media.ldlc.com/r150/ld/products/00/05/73/37/LD0005733773_1.jpg
Apple iPad (Gen 8) Wi-Fi 32 Go Argent;AR202009170023;389.95;Apple;Tablette tactile;"Tablette Internet - Apple A12 Bionic - eMMC 32 Go - 10.2"" LED tactile - Wi-Fi AC/Bluetooth - Webcam - iPadOS 14 - Compatible Apple Pencil / Smart Keyboard";https://media.ldlc.com/r150/ld/products/00/05/72/13/LD0005721346_1_0005721357.jpg
"Samsung Galaxy Tab S6 Lite 10.4&quot; SM-P610 64 Go Gris Wi-Fi";AR202004200133;349.95;Samsung;Tablette tactile;"Tablette Internet - Samsung Exynos 7 9611 8-Core 2.3 GHz / 1.7 GHz - RAM 4 Go - 64 Go - Écran LED IPS 10.4"" - Wi-Fi/Bluetooth - Webcam - 7040 mAh - Android 10";https://media.ldlc.com/r150/ld/products/00/05/66/09/LD0005660964_2.jpg
Apple iPad (Gen 8) Wi-Fi 128 Go Gris Sidéral;AR202009170028;489.95;Apple;Tablette tactile;"Tablette Internet - Apple A12 Bionic - eMMC 128 Go - 10.2"" LED tactile - Wi-Fi AC/Bluetooth - Webcam - iPadOS 14 - Compatible Apple Pencil / Smart Keyboard";https://media.ldlc.com/r150/ld/products/00/05/72/13/LD0005721353_1.jpg
Apple iPad (Gen 8) Wi-Fi 32 Go Or;AR202009170024;389.95;Apple;Tablette tactile;"Tablette Internet - Apple A12 Bionic - eMMC 32 Go - 10.2"" LED tactile - Wi-Fi AC/Bluetooth - Webcam - iPadOS 14 - Compatible Apple Pencil / Smart Keyboard";https://media.ldlc.com/r150/ld/products/00/05/72/13/LD0005721367_1.jpg
"Samsung Galaxy Tab A 8&quot; SM-T290 32 Go Argent Wi-Fi";AR201908130007;149.95;Samsung;Tablette tactile;"Tablette Internet - Snapdragon 429 Quad-Core 2.0 GHz - RAM 2 Go - 32 Go - Écran 8"" - Wi-Fi/Bluetooth - Webcam - 5100 mAh - Android 9.0";https://media.ldlc.com/r150/ld/products/00/05/41/86/LD0005418654_2.jpg
"Samsung Galaxy Tab A 8&quot; SM-T290 32 Go Noir Wi-Fi";AR201908130006;149.95;Samsung;Tablette tactile;"Tablette Internet - Snapdragon 429 Quad-Core 2.0 GHz - RAM 2 Go - 32 Go - Écran 8"" - Wi-Fi/Bluetooth - Webcam - 5100 mAh - Android 9.0";https://media.ldlc.com/r150/ld/products/00/05/41/86/LD0005418674_2.jpg
"Samsung Galaxy Tab A7 10.4&quot; SM-T500 32 Go Argent Wi-Fi";AR202010020044;219.95;Samsung;Tablette tactile;"Tablette Internet - Snapdragon 662 Octo-Core 2 GHz - RAM 3 Go - 32 Go - Écran 10.4"" WUXGA+ - Wi-Fi/Bluetooth - Webcam - USB-C - 7040 mAh - Android 10";https://media.ldlc.com/r150/ld/products/00/05/73/37/LD0005733791_1.jpg
"Samsung Galaxy Tab S6 Lite 10.4&quot; SM-P610 64 Go Bleu Wi-Fi";AR202004200134;349.95;Samsung;Tablette tactile;"Tablette Internet - Samsung Exynos 7 9611 8-Core 2.3 GHz / 1.7 GHz - RAM 4 Go - 64 Go - Écran LED IPS 10.4"" - Wi-Fi/Bluetooth - Webcam - 7040 mAh - Android 10";https://media.ldlc.com/r150/ld/products/00/05/66/10/LD0005661003_2.jpg
Apple iPad (Gen 8) Wi-Fi 32 Go Gris Sidéral;AR202009170022;389.95;Apple;Tablette tactile;"Tablette Internet - Apple A12 Bionic - eMMC 32 Go - 10.2"" LED tactile - Wi-Fi AC/Bluetooth - Webcam - iPadOS 14 - Compatible Apple Pencil / Smart Keyboard";https://media.ldlc.com/r150/ld/products/00/05/72/13/LD0005721329_1.jpg
"Samsung Galaxy Tab S5e 10.5&quot; SM-T720 128 Go Noir Wi-Fi";AR201903270019;499.9;Samsung;Tablette tactile;"Tablette Internet - Snapdragon 670 Octo-Core 2 GHz - RAM 6 Go - 128 Go - Écran Super AMOLED 10.5"" - Wi-Fi/Bluetooth - Webcam - 7040 mAh - Android 9.0";https://media.ldlc.com/r150/ld/products/00/05/26/82/LD0005268297_2_0005268669.jpg
Apple iPad (Gen 8) Wi-Fi 128 Go Or;AR202009170032;489.95;Apple;Tablette tactile;"Tablette Internet - Apple A12 Bionic - eMMC 128 Go - 10.2"" LED tactile - Wi-Fi AC/Bluetooth - Webcam - iPadOS 14 - Compatible Apple Pencil / Smart Keyboard";https://media.ldlc.com/r150/ld/products/00/05/72/13/LD0005721367_1_0005721371.jpg
Lenovo Tab M10 Noir (ZA4Y0072SE);AR202012030084;199.94;Lenovo;Tablette tactile;"Tablette Internet - Qualcomm Snapdragon 450 8-Core 1.8 GHz - 3 Go - 32 Go - 10.1"" LED Full HD Tactile - Wi-Fi/Bluetooth/Webcam - Android 9.0";https://media.ldlc.com/r150/ld/products/00/05/75/99/LD0005759926_1.jpg
"Samsung Galaxy Tab A7 10.4&quot; SM-T500 64 Go Gris Wi-Fi";AR202010020046;259.95;Samsung;Tablette tactile;"Tablette Internet - Snapdragon 662 Octo-Core 2 GHz - RAM 3 Go - 64 Go - Écran 10.4"" WUXGA+ - Wi-Fi/Bluetooth - Webcam - USB-C - 7040 mAh - Android 10";https://media.ldlc.com/r150/ld/products/00/05/73/37/LD0005733773_1_0005733795.jpg
Apple iPad (Gen 8) Wi-Fi 128 Go Argent;AR202009170030;489.95;Apple;Tablette tactile;"Tablette Internet - Apple A12 Bionic - eMMC 128 Go - 10.2"" LED tactile - Wi-Fi AC/Bluetooth - Webcam - iPadOS 14 - Compatible Apple Pencil / Smart Keyboard";https://media.ldlc.com/r150/ld/products/00/05/72/13/LD0005721346_1.jpg
Lenovo Tab M7 TB-7305F Gris Platine (ZA550065SE);AR202002280013;99.95;Lenovo;Tablette tactile;"Tablette Internet - MediaTek MT8321 Quad-Core 1.3 GHz - 1 Go - 16 Go - 7"" LCD IPS Tactile - Wi-Fi/Bluetooth/Webcam - Android 9.0 Go Edition";https://media.ldlc.com/r150/ld/products/00/05/62/14/LD0005621487_2.jpg
Apple iPad Air (2020) Wi-Fi 64 Go Gris Sidéral;AR202009170057;669.95;Apple;Tablette tactile;"Tablette Internet - Apple A14 Bionic 64 bits - eMMC 64 Go - Écran 10.9"" LED tactile - Wi-Fi AX/Bluetooth 5.0 - Webcam - USB-C - iPadOS 14";https://media.ldlc.com/r150/ld/products/00/05/72/16/LD0005721678_1.jpg
"Samsung Galaxy Tab A7 10.4&quot; SM-T505 32 Go Gris 4G";AR202010020045;349.94;Samsung;Tablette tactile;"Tablette Internet 4G-LTE Advanced - Snapdragon 662 Octo-Core 2 GHz - RAM 3 Go - 32 Go - Écran 10.4"" WUXGA+ - Wi-Fi/Bluetooth - Webcam - USB-C - 7040 mAh - Android 10";https://media.ldlc.com/r150/ld/products/00/05/73/37/LD0005733773_1_0005733800.jpg
Apple iPad Pro (2020) 11 pouces 256 Go Wi-Fi Gris Sidéral;AR202003200007;999.95;Apple;Tablette tactile;"Tablette Internet - Apple A12Z Bionic 64 bits - 6 Go - eMMC 256 Go - Écran 11"" LED IPS tactile - Wi-Fi AX / Bluetooth 5 - Webcam - USB-C - iPadOS";https://media.ldlc.com/r150/ld/products/00/05/63/61/LD0005636157_2_0005636180.jpg
Apple iPad Pro (2020) 12.9 pouces 128 Go Wi-Fi Gris Sidéral;AR202003200031;1119.95;Apple;Tablette tactile;"Tablette Internet - Apple A12Z Bionic 64 bits - 6 Go - eMMC 128 Go - Écran 12.9"" LED IPS tactile - Wi-Fi AX / Bluetooth 5 - Webcam - USB-C - iPadOS";https://media.ldlc.com/r150/ld/products/00/05/63/65/LD0005636562_2.jpg
Apple iPad Pro (2020) 12.9 pouces 128 Go Wi-Fi Argent;AR202003200036;1119.95;Apple;Tablette tactile;"Tablette Internet - Apple A12Z Bionic 64 bits - 6 Go - eMMC 128 Go - Écran 12.9"" LED IPS tactile - Wi-Fi AX / Bluetooth 5 - Webcam - USB-C - iPadOS";https://media.ldlc.com/r150/ld/products/00/05/63/63/LD0005636317_2.jpg
