name;id;price;brand;category;spec;img_url
Apple Watch Series 6 GPS Aluminium Blue Bracelet Sport Deep Navy 44 mm;AR202009160209;459.95;Apple;Montre connectée;Montre connectée - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina Always On - Wi-Fi 5 GHz / Bluetooth - watchOS 7 - Bracelet Sport 44 mm;https://media.ldlc.com/r150/ld/products/00/05/72/09/LD0005720946_1.jpg
OPPO Watch (46 mm / Noir);AR202009280097;299.95;OPPO;Montre connectée;"Montre connectée - Étanche 30 m - Écran tactile AMOLED 1.91"" - 402 x 476 pixels - 8 Go - NFC/Bluetooth 4.2 - Google Assistant - 430 mAh - WearOS";https://media.ldlc.com/r150/ld/products/00/05/72/89/LD0005728928_1.jpg
Huawei Watch GT 2 (46 mm / Fluoroélastomère / Noir);AR201910080002;149.95;Huawei;Montre connectée;"Montre connectée - Étanche 50 m - GPS/GLONASS - Cardiofréquencemètre - Écran AMOLED de 1.39"" -  454 x 454 pixels - 4 Go - Bluetooth 5.0 - Lite OS - Bracelet sport 46 mm";https://media.ldlc.com/r150/ld/products/00/05/48/78/LD0005487891_2.jpg
Apple Watch Series 6 GPS Aluminium Gold Bracelet Sport Pink Sand 40 mm;AR202009160230;429.95;Apple;Montre connectée;Montre connectée - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina Always On - Wi-Fi 5 GHz / Bluetooth - watchOS 7 - Bracelet Sport 40 mm;https://media.ldlc.com/r150/ld/products/00/05/72/11/LD0005721106_1.jpg
Apple Watch Series 3 GPS Aluminium Gris Sidéral Sport Noir 42 mm;AR201809240041;259.94;Apple;Montre connectée;Montre connectée - Aluminium - Etanche 50 m - GPS/GLONASS - Cardiofréquencemètre - Ecran Retina OLED 390 x 312 pixels - Wi-Fi/Bluetooth 4.2 - watchOS 5 - Bracelet Sport 42 mm;https://media.ldlc.com/r150/ld/products/00/05/03/22/LD0005032298_2.jpg
Apple Watch Nike Series 6 GPS + Cellular Aluminium Space Gray Bracelet Sport Anthracite Black 44 mm;AR202009160176;559.94;Apple;Montre connectée;Montre connectée 4G - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina Always On - Wi-Fi 5 GHz / Bluetooth - watchOS 7 - Bracelet Sport 44 mm;https://media.ldlc.com/r150/ld/products/00/05/72/19/LD0005721916_1.jpg
Apple Watch Series 6 GPS Aluminium Space Gray Bracelet Sport Black 44 mm;AR202009160208;459.95;Apple;Montre connectée;Montre connectée - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina Always On - Wi-Fi 5 GHz / Bluetooth - watchOS 7 - Bracelet Sport 44 mm;https://media.ldlc.com/r150/ld/products/00/05/72/09/LD0005720932_1.jpg
Apple Watch SE GPS Space Gray Aluminium Bracelet Sport Noir 40 mm;AR202009160189;299.95;Apple;Montre connectée;Montre connectée - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina  - Wi-Fi 2,4 GHz / Bluetooth - watchOS 7 - Bracelet Sport 40 mm;https://media.ldlc.com/r150/ld/products/00/05/72/10/LD0005721034_1.jpg
Apple Watch Series 6 GPS + Cellular Aluminium Blue Bracelet Sport Deep Navy 44 mm;AR202009160222;559.94;Apple;Montre connectée;Montre connectée 4G - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina Always On - Wi-Fi 5 GHz / Bluetooth - watchOS 7 - Bracelet Sport 44 mm;https://media.ldlc.com/r150/ld/products/00/05/72/18/LD0005721840_1.jpg
Apple Watch Nike Series 6 GPS Aluminium Space Gray Bracelet Sport Anthracite Black 44 mm;AR202009160180;459.95;Apple;Montre connectée;Montre connectée - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina Always On - Wi-Fi 5 GHz / Bluetooth - watchOS 7 - Bracelet Sport 44 mm;https://media.ldlc.com/r150/ld/products/00/05/72/12/LD0005721202_1.jpg
Apple Watch SE GPS + Cellular Space Gray Aluminium Bracelet Sport Black 40 mm;AR202009160197;349.94;Apple;Montre connectée;Montre connectée - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina  - Wi-Fi 2,4 GHz / Bluetooth - watchOS 7 - Bracelet Sport 40 mm;https://media.ldlc.com/r150/ld/products/00/05/72/11/LD0005721180_1.jpg
Huawei Watch GT 2 Pro (Classique) + FreeBuds 3i;AR202008280019;299.95;Huawei;Montre connectée;"Montre connectée - Étanche 50 m - GPS/GLONASS - Cardiofréquencemètre - Écran AMOLED de 1.39"" -  454 x 454 pixels - 4 Go - Bluetooth 5.1 - Bracelet classique + Écouteurs intra-auriculaires sans fil Bluetooth 5.0 avec micro intégré et boîtier de charge/transport";https://media.ldlc.com/r150/ld/products/00/05/73/91/LD0005739152_1.jpg
Huawei Watch GT 2 Pro (Sport);AR202008280017;259.95;Huawei;Montre connectée;"Montre connectée - Étanche 50 m - GPS/GLONASS - Cardiofréquencemètre - Écran AMOLED de 1.39"" -  454 x 454 pixels - 4 Go - Bluetooth 5.1 - Bracelet sport";https://media.ldlc.com/r150/ld/products/00/05/73/90/LD0005739088_1.jpg
Samsung Galaxy Watch 3 (45 mm / Noir);AR202007280005;449.95;Samsung;Montre connectée;"Montre connectée - 45 mm - certifiée IP68 - RAM 1 Go - écran Super AMOLED 1.4"" - 8 Go - NFC/Wi-Fi/Bluetooth 5.0 - 340 mAh - Tizen OS 5.5";https://media.ldlc.com/r150/ld/products/00/05/70/28/LD0005702846_1.jpg
Avizar Montre Connectée T81 Noir;MK200223032542;33.15;Avizar;Montre connectée;Montre connectée multifonctions - Étanche IP67 - Bluetooth - Bracelet silicone;https://media.ldlc.com/r150/mkp/46db38adf9804df0b88f25704136029f.jpeg
Huawei Watch GT 2e (Noir);AR202003250029;119.95;Huawei;Montre connectée;"Montre connectée - Étanche 50 m - GPS/GLONASS - Cardiofréquencemètre - Écran AMOLED de 1.39"" -  454 x 454 pixels - 4 Go - Bluetooth 5.1 - Lite OS - Bracelet en fluoroélastomère";https://media.ldlc.com/r150/ld/products/00/05/64/08/LD0005640830_2.jpg
Fitbit Versa 3 Or/Rose;AR202008270076;229.96;Fitbit;Montre connectée;Montre connectée - étanche - écran AMOLED - suivi continu de la fréquence cardiaque PurePulse 2.0 et des activités quotidiennes - 6 jours d'autonomie - Bluetooth 5.0 - Android/iOS - Taille S et L;https://media.ldlc.com/r150/ld/products/00/05/71/26/LD0005712630_1.jpg
Apple Watch SE GPS + Cellular Gold Aluminium Bracelet Sport Plum 40 mm;AR202009160196;349.94;Apple;Montre connectée;Montre connectée - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina  - Wi-Fi 2,4 GHz / Bluetooth - watchOS 7 - Bracelet Sport 40 mm;https://media.ldlc.com/r150/ld/products/00/05/72/11/LD0005721169_1.jpg
Yonis Montre Connectée Femme universelle Argent Y-10429;MK200908081896;77.98;Yonis;Montre connectée;Montre Connectée Femme Android iOs Smartwatch Sport Bluetooth 0.96 Pouce Argent;https://media.ldlc.com/r150/mkp/c8a6358095404ab2b84247b953bbdef7.jpeg
Huawei Watch GT 2 (46 mm / Cuir / Marron);AR201910080003;169.95;Huawei;Montre connectée;"Montre connectée - Étanche 50 m - GPS/GLONASS - Cardiofréquencemètre - Écran AMOLED de 1.39"" -  454 x 454 pixels - 4 Go - Bluetooth 5.0 - Lite OS - Bracelet classique 46 mm";https://media.ldlc.com/r150/ld/products/00/05/48/78/LD0005487823_2.jpg
Huawei Watch GT 2 (42 mm / Cuir / Marron);AR201910080006;169.95;Huawei;Montre connectée;"Montre connectée - Étanche 50 m - GPS/GLONASS - Cardiofréquencemètre - Écran AMOLED de 1.2"" -  390 x 390 pixels - 4 Go - Bluetooth 5.0 - Lite OS - Bracelet cuir 42 mm";https://media.ldlc.com/r150/ld/products/00/05/65/23/LD0005652349_2.jpg
Samsung Galaxy Watch 3 4G (41 mm / Bronze);AR202007280011;479.95;Samsung;Montre connectée;"Montre connectée 4G - 41 mm - certifiée IP68 - RAM 1 Go - écran Super AMOLED 1.2"" - 8 Go - NFC/Wi-Fi/Bluetooth 5.0 - 247 mAh - Tizen OS 5.5";https://media.ldlc.com/r150/ld/products/00/05/70/27/LD0005702728_1.jpg
OPPO Watch (41 mm / Rose);AR202009070082;219.95;OPPO;Montre connectée;"Montre connectée - Étanche 30 m - Écran tactile AMOLED 1.6"" - 320 x 260 pixels - 8 Go - NFC/Bluetooth 4.2 - Google Assistant - 300 mAh - WearOS";https://media.ldlc.com/r150/ld/products/00/05/71/68/LD0005716847_1.jpg
Apple Watch Nike SE GPS + Cellular Silver Aluminium Bracelet Sport Pure Platinum Black 44 mm;AR202009160178;379.94;Apple;Montre connectée;Montre connectée - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina - Wi-Fi 2,4 GHz / Bluetooth - watchOS 7 - Bracelet Sport 44 mm;https://media.ldlc.com/r150/ld/products/00/05/72/13/LD0005721318_1.jpg
Samsung Galaxy Watch Active 2 4G (40 mm / Aluminium / Rose Velours);AR202009180023;319.96;Samsung;Montre connectée;"Montre connectée 4G - 40 mm - aluminium - certifiée IP68 - RAM 1.5 Go - écran Super AMOLED 1.2"" - 4 Go - NFC/Wi-Fi/Bluetooth 5.0 - 247 mAh - Tizen OS 4.0";https://media.ldlc.com/r150/ld/products/00/05/41/54/LD0005415447_2_0005723868.jpg
Elari Montre connectée pour enfant  Kidphone 2 Rose;MK200303034239;39.9;Elari;Montre connectée;Montre connectée pour enfant  Kidphone 2;https://media.ldlc.com/r150/mkp/33d08f9c30044b67994b41e9bad9ca96.jpeg
Cellys Montre connectée iCONNECT Noir;MK200303034254;39.99;Cellys;Montre connectée;Montre connectée iCONNECT;https://media.ldlc.com/r150/mkp/4120ca61b5ce4de2bcff587632ecb34f.jpeg
Fitbit Versa 3 Noir;AR202008270075;229.96;Fitbit;Montre connectée;Montre connectée - étanche - écran AMOLED - suivi continu de la fréquence cardiaque PurePulse 2.0 et des activités quotidiennes - 6 jours d'autonomie - Bluetooth 5.0 - Android/iOS - Taille S et L;https://media.ldlc.com/r150/ld/products/00/05/71/26/LD0005712614_1.jpg
Apple Watch Series 6 GPS + Cellular Aluminium Gold Bracelet Pink Sand 40 mm;AR202009160212;529.94;Apple;Montre connectée;Montre connectée 4G - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina Always On - Wi-Fi 5 GHz / Bluetooth - watchOS 7 - Bracelet Sport 40 mm;https://media.ldlc.com/r150/ld/products/00/05/72/19/LD0005721904_1.jpg
Apple Watch Series 6 GPS + Cellular Aluminium PRODUCT(RED) 44 mm;AR202009160223;559.94;Apple;Montre connectée;Montre connectée 4G - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina Always On - Wi-Fi 5 GHz / Bluetooth - watchOS 7 - Bracelet Sport 44 mm;https://media.ldlc.com/r150/ld/products/00/05/72/18/LD0005721835_1.jpg
Apple Watch Series 6 GPS Aluminium Blue Bracelet Sport Deep Navy 40 mm;AR202009160232;429.95;Apple;Montre connectée;Montre connectée - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina Always On - Wi-Fi 5 GHz / Bluetooth - watchOS 7 - Bracelet Sport 40 mm;https://media.ldlc.com/r150/ld/products/00/05/72/10/LD0005721069_1.jpg
Apple Watch Series 6 GPS Aluminium Silver Bracelet Sport White 40 mm;AR202009160233;429.95;Apple;Montre connectée;Montre connectée - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina Always On - Wi-Fi 5 GHz / Bluetooth - watchOS 7 - Bracelet Sport 40 mm;https://media.ldlc.com/r150/ld/products/00/05/72/10/LD0005721076_1.jpg
Yonis Montre connectée Universelle Noir Y-8392;MK200910084528;84.98;Yonis;Montre connectée;Smartwatch Android Et Iphone iOs Montre Connectée 1,22' Cardio Podomètre Noir;https://media.ldlc.com/r150/mkp/866582086a504de0b92faaae0dc5db86.jpeg
